nr;tv-id;type;tvgrade;tvlogiuscheck;tvstatus;tvdate;tvdomain;1.1.1;1.2.1;1.2.2;1.2.3;1.2.4;1.2.5;1.2.6;1.2.7;1.2.8;1.2.9;1.3.1;1.3.2;1.3.3;1.3.4;1.3.5;1.3.6;1.4.1;1.4.2;1.4.3;1.4.4;1.4.5;1.4.6;1.4.7;1.4.8;1.4.9;1.4.10;1.4.11;1.4.12;1.4.13;2.1.1;2.1.2;2.1.3;2.1.4;2.2.1;2.2.2;2.2.3;2.2.4;2.2.5;2.2.6;2.3.1;2.3.2;2.3.3;2.4.1;2.4.2;2.4.3;2.4.4;2.4.5;2.4.6;2.4.7;2.4.8;2.4.9;2.4.10;2.5.1;2.5.2;2.5.3;2.5.4;2.5.5;2.5.6;3.1.1;3.1.2;3.1.3;3.1.4;3.1.5;3.1.6;3.2.1;3.2.2;3.2.3;3.2.4;3.2.5;3.3.1;3.3.2;3.3.3;3.3.4;3.3.5;3.3.6;4.1.1;4.1.2;4.1.3;0.0.0
"12";"10044";"website";"D";"";"voldoet niet";"17-07-2023";"https://webclient.moreapp.com/form/5dc17b6174b1c30001108356";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";"10046";"website";"B";"ontoereikend";"voldoet gedeeltelijk";"11-08-2023";"https://www.rotterdaminnovationcity.com/";2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";"10049";"mobiele applicatie";"D";"";"voldoet niet";"14-05-2024";"https://apps.apple.com/nl/app/id1211626525";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";"10050";"website";"D";"";"voldoet niet";"09-01-2024";"https://berkelland.bestuurlijkeinformatie.nl/";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";"10051";"website";"D";"";"voldoet niet";"09-01-2024";"https://afspraak.gemeenteberkelland.nl/InternetAfspraken/";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";"10052";"website";"D";"";"voldoet niet";"14-05-2024";"https://berkelland.archiefweb.eu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";"10053";"website";"D";"";"voldoet niet";"09-01-2024";"https://afvalkalender.gemeenteberkelland.nl/";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"19";"10054";"website";"D";"";"voldoet niet";"09-01-2024";"https://berkelland.begrotingsapp.nl/";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";"10056";"website";"D";"";"voldoet niet";"09-01-2024";"https://berkelland.incijfers.nl";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";"10057";"website";"D";"";"voldoet niet";"09-01-2024";"https://channel.royalcast.com/berkelland/";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
